ValueTime,PlantKey,Ratio,SunRad,Temperature
2023-03-01,SGA0001,50.19253207659,3220.0,6.75
2023-03-02,SGA0001,55.228100259389,2870.0,6.65
2023-03-03,SGA0001,71.712063346704,1250.0,5.0375
2023-03-04,SGA0001,49.5871991695028,2750.0,0.179166666666667
2023-03-05,SGA0001,55.3075888974583,2370.0,0.6125
2023-03-06,SGA0001,42.1547322256238,1630.0,-0.825
2023-03-07,SGA0001,64.8894920375537,1570.0,-0.454166666666667
2023-03-08,SGA0001,1.05325567517983,480.0,-1.62916666666667
2023-03-09,SGA0001,2.95286890026785,2300.0,-0.508333333333333
2023-03-10,SGA0001,6.98336922303114,2520.0,3.42916666666667
2023-03-11,SGA0001,11.9020995442093,1940.0,-0.691666666666667
2023-03-12,SGA0001,10.4921680973977,4000.0,0.6
2023-03-13,SGA0001,8.22747691313237,620.0,0.833333333333333
2023-03-14,SGA0001,61.7084853428725,1230.0,5.60416666666667
2023-03-15,SGA0001,44.5016929397074,4570.0,3.5125
2023-03-16,SGA0001,46.436425500229,4530.0,3.37916666666667
2023-03-17,SGA0001,74.1364666587888,1450.0,3.18333333333333
2023-03-18,SGA0001,101.946349193798,300.0,5.67916666666667
2023-03-19,SGA0001,93.4817130774532,870.0,7.45416666666667
2023-03-20,SGA0001,78.6455124124701,730.0,6.11666666666667
2023-03-21,SGA0001,58.1691788166217,2960.0,6.95833333333333
2023-03-22,SGA0001,79.6999887619614,1220.0,7.72083333333333
2023-03-23,SGA0001,54.7134591826695,4180.0,10.5541666666667
2023-03-24,SGA0001,95.4083656865971,830.0,7.775
2023-03-25,SGA0001,94.2949304027978,460.0,1.49583333333333
2023-03-26,SGA0001,75.0740796830267,930.0,0.1625
2023-03-27,SGA0001,14.1834868870176,1350.0,-1.54166666666667
2023-03-28,SGA0001,21.0204763448729,2510.0,-1.95
2023-03-29,SGA0001,40.8303304737184,1220.0,-0.141666666666667
2023-03-30,SGA0001,17.9765209142533,1670.0,1.9125
2023-03-31,SGA0001,40.2426128197352,3550.0,1.60416666666667
2023-04-01,SGA0001,45.7681993345093,5320.0,2.4875
2023-04-02,SGA0001,46.8107491651167,5230.0,1.9625
2023-04-03,SGA0001,47.629181014075,5370.0,2.77083333333333
2023-04-04,SGA0001,73.8685580458616,2620.0,3.86666666666667
2023-04-05,SGA0001,68.5661542927762,870.0,1.02083333333333
2023-04-06,SGA0001,59.495745687759,2980.0,6.47916666666667
2023-04-07,SGA0001,88.3497301208322,740.0,3.7
2023-04-08,SGA0001,48.7137172765559,5430.0,9.56666666666666
2023-04-09,SGA0001,59.2303127015104,3580.0,8.42916666666667
2023-04-10,SGA0001,52.0100246789516,5320.0,8.89166666666667
