PlantKey,PRType,ValueTime,Ratio,Area,InstEffekt,SunRad,EffectProd,Temperature,Created,LastModified,Theoretical,SimilarPlantKey
FBO0023,1,1/1/2023,96.95651341,72,13.7,180,1900,-0.925,39:51.0,41:12.0,1959.641424,NULL
FBO0023,1,1/2/2023,0,72,13.7,0,200,2.625,39:51.0,41:12.0,0,NULL
FBO0023,1,1/3/2023,87.45039496,72,13.7,650,6200,-1.441666667,39:51.0,41:12.0,7089.73356,NULL
FBO0023,1,1/4/2023,0,72,13.7,0,400,-3.6,39:51.0,41:12.0,0,NULL
FBO0023,1,1/5/2023,0,72,13.7,0,200,-2.979166667,39:51.0,41:12.0,0,NULL
FBO0023,1,1/6/2023,0,72,13.7,100,700,-4.8625,39:51.0,41:12.0,1104.22548,NULL
FBO0023,1,1/7/2023,0,72,13.7,0,500,-0.491666667,39:51.0,41:12.0,0,NULL
FBO0023,1,1/8/2023,0,72,13.7,0,200,3.391666667,39:51.0,41:12.0,0,NULL
FBO0023,1,1/9/2023,0,72,13.7,0,300,3.9,39:51.0,41:12.0,0,NULL
FBO0023,1,1/10/2023,0,72,13.7,20,400,2.9,39:51.0,41:12.0,214.719552,NULL
FBO0023,1,1/11/2023,0,72,13.7,0,200,4.383333333,39:51.0,41:12.0,0,NULL
FBO0023,1,1/12/2023,0,72,13.7,10,400,3.420833333,39:51.0,41:12.0,107.154276,NULL
FBO0023,1,1/13/2023,80.97717474,72,13.7,150,1300,3.745833333,39:51.0,41:13.0,1605.39066,NULL
FBO0023,1,1/14/2023,0,72,13.7,10,400,4.220833333,39:51.0,41:13.0,106.838628,NULL
FBO0023,1,1/15/2023,115.3040526,72,13.7,300,3700,3.904166667,39:51.0,41:13.0,3208.90716,NULL
FBO0023,1,1/16/2023,105.2600996,72,13.7,860,9700,3.420833333,39:51.0,41:13.0,9215.267736,NULL
FBO0023,1,1/17/2023,0,72,13.7,0,100,2.4,39:51.0,41:13.0,0,NULL
FBO0023,1,1/18/2023,59.70118393,72,13.7,1640,10500,3.2,39:51.0,41:13.0,17587.59091,NULL
FBO0023,1,1/19/2023,79.52268905,72,13.7,1600,13800,0.1125,39:51.0,41:13.0,17353.53792,NULL
FBO0023,1,1/20/2023,76.50071764,72,13.7,300,2500,-1.083333333,39:51.0,41:13.0,3267.9432,NULL
FBO0023,1,1/21/2023,0,72,13.7,30,600,-0.820833333,39:51.0,41:13.0,326.483604,NULL
FBO0023,1,1/22/2023,82.51757204,72,13.7,110,1000,-4.220833333,39:51.0,41:13.0,1211.863092,NULL
FBO0023,1,1/23/2023,74.69882182,72,13.7,170,1400,-4.416666667,39:51.0,41:13.0,1874.19288,NULL
FBO0023,1,1/24/2023,0,72,13.7,0,400,1.758333333,39:51.0,41:13.0,0,NULL
FBO0023,1,1/25/2023,62.78488327,72,13.7,180,1200,5.883333333,39:51.0,41:13.0,1911.288096,NULL
FBO0023,1,1/26/2023,77.24492833,72,13.7,1610,13300,3.954166667,39:51.0,41:14.0,17217.95888,NULL
FBO0023,1,1/27/2023,71.89655479,72,13.7,2500,19500,0.0375,39:51.0,41:14.0,27122.301,NULL
FBO0023,1,1/28/2023,64.93847527,72,13.7,610,4300,-0.120833333,39:51.0,41:14.0,6621.652236,NULL
