,Ratio
2023-01-01,93.10557748828545
2023-01-02,30.895680751276497
2023-01-03,35.88473445675942
2023-01-04,14.873553998639373
2023-01-05,18.552827133396445
2023-01-06,24.104260404169917
2023-01-07,37.782987405256065
2023-01-08,8.182873092161822
2023-01-09,70.44361028988754
2023-01-10,85.09615843285019
2023-01-11,14.959653202949777
2023-01-12,84.92936042591452
2023-01-13,68.72587092568044
2023-01-14,85.495159489132
2023-01-15,84.48771250563064
2023-01-16,77.13099738314187
2023-01-17,10.646224191369818
2023-01-18,70.29226372895259
2023-01-19,79.01146873796404
2023-01-20,71.02001255064997
2023-01-21,87.98917049628179
2023-01-22,74.36701084876371
2023-01-23,38.84999463250865
2023-01-24,56.635215571353086
2023-01-25,83.27949357518031
2023-01-26,77.07200922684981
2023-01-27,77.54921815249666
2023-01-28,84.93044779499554
2023-01-29,83.77855957896519
2023-01-30,77.59982194344109
2023-01-31,71.38670584666093
2023-02-01,52.05402715543231
2023-02-02,18.933102687722204
2023-02-03,25.754707094429175
2023-02-04,27.809873230749645
2023-02-05,31.8934030471883
2023-02-06,29.786009977477956
2023-02-07,72.86775143080428
2023-02-08,96.1262304424549
2023-02-09,84.19290374849838
2023-02-10,82.70710004998548
2023-02-11,78.62394095125198
2023-02-12,83.7110555777985
2023-02-13,81.35325164398799
2023-02-14,79.98160004464984
2023-02-15,89.6318101654436
2023-02-16,88.54605100678675
2023-02-17,93.68722796448832
2023-02-18,85.86925610724882
2023-02-19,80.70686170075085
2023-02-20,37.247133609265525
2023-02-21,22.222710290013506
2023-02-22,31.016708855243813
2023-02-23,16.689761792218363
2023-02-24,20.768489184014353
2023-02-25,16.94653237258641
2023-02-26,28.984066279237645
2023-02-27,66.41220267494583
2023-02-28,88.37110521094148
2023-03-01,82.34765320500529
2023-03-02,79.85028323583231
2023-03-03,76.53671092486627
2023-03-04,85.31694572161238
2023-03-05,86.21603044045953
2023-03-06,54.99155584463665
2023-03-07,84.06470357772976
2023-03-08,10.463749621074115
2023-03-09,27.50903773023305
2023-03-10,26.909352396235164
2023-03-11,42.43057850907097
2023-03-12,46.10235298653943
2023-03-13,49.253278483372604
2023-03-14,77.22416422869394
2023-03-15,82.78765110097818
2023-03-16,81.63947283285117
2023-03-17,83.05888152942877
2023-03-18,84.21359562408624
2023-03-19,89.94304903327827
2023-03-20,87.93963900987248
2023-03-21,87.53294105152746
2023-03-22,88.7072130868038
2023-03-23,83.79792952506934
2023-03-24,86.49504499579487
2023-03-25,52.15630424203755
2023-03-26,21.081300476840756
2023-03-27,15.521759546965058
2023-03-28,31.94987395396104
2023-03-29,47.07218541298073
2023-03-30,41.19563539234183
2023-03-31,68.34247647350071
2023-04-01,80.3661111227372
2023-04-02,83.09949749510153
2023-04-03,80.76381506018686
2023-04-04,84.75775398369511
2023-04-05,77.68188271379935
2023-04-06,76.67906901422083
2023-04-07,87.18538581420653
2023-04-08,85.18467160015929
